no,area,genre,name,is_large_store,ticket_type,map_query
790,霧島,家電・ホームセンター,コメリハード＆グリーン 霧島神宮駅店,False,全券利用可（14枚）,コメリハード＆グリーン 霧島神宮駅店 霧島市 霧島
791,霧島,車・バイク・ガソリン,西藤石油,False,全券利用可（14枚）,西藤石油 霧島市 霧島
792,霧島,スーパー・食品,坂元商店,False,全券利用可（14枚）,坂元商店 霧島市 霧島
793,霧島,その他,ザ・パルス霧島,False,全券利用可（14枚）,ザ・パルス霧島 霧島市 霧島
794,霧島,その他,慈慈,False,全券利用可（14枚）,慈慈 霧島市 霧島
795,霧島,家電・ホームセンター,下登電機,False,全券利用可（14枚）,下登電機 霧島市 霧島
796,霧島,飲食店,神宮前茶屋,False,全券利用可（14枚）,神宮前茶屋 霧島市 霧島
797,霧島,レジャー・観光,道の駅霧島 神話の里公園,False,全券利用可（14枚）,道の駅霧島 神話の里公園 霧島市 霧島
798,霧島,飲食店,寿し処 大鳥居,False,全券利用可（14枚）,寿し処 大鳥居 霧島市 霧島
799,霧島,コンビニ,セブンイレブン 霧島神宮駅前店,False,全券利用可（14枚）,セブンイレブン 霧島神宮駅前店 霧島市 霧島
800,霧島,交通・代行,第一交通 霧島神宮営業所,False,全券利用可（14枚）,第一交通 霧島神宮営業所 霧島市 霧島
801,霧島,飲食店,タヴェルナマンジャーレ,False,全券利用可（14枚）,タヴェルナマンジャーレ 霧島市 霧島
802,霧島,家電・ホームセンター,田方電気工事,False,全券利用可（14枚）,田方電気工事 霧島市 霧島
803,霧島,レジャー・観光,高千穂カントリー倶楽部,False,全券利用可（14枚）,高千穂カントリー倶楽部 霧島市 霧島
804,霧島,ドラッグストア・薬局,タケダ薬局,False,全券利用可（14枚）,タケダ薬局 霧島市 霧島
805,霧島,宿泊・温泉,天からの贈り物 VillaMontpetre,False,全券利用可（14枚）,天からの贈り物 VillaMontpetre 霧島市 霧島
806,霧島,車・バイク・ガソリン,徳留自動車,False,全券利用可（14枚）,徳留自動車 霧島市 霧島
807,霧島,車・バイク・ガソリン,土橋自動車,False,全券利用可（14枚）,土橋自動車 霧島市 霧島
808,霧島,スーパー・食品,中村商店,False,全券利用可（14枚）,中村商店 霧島市 霧島
809,霧島,コンビニ,ファミリーマート はとや霧島店,False,全券利用可（14枚）,ファミリーマート はとや霧島店 霧島市 霧島
810,霧島,その他,星とのあいだ,False,全券利用可（14枚）,星とのあいだ 霧島市 霧島
811,霧島,その他,まめ千,False,全券利用可（14枚）,まめ千 霧島市 霧島
812,霧島,その他,ミコト乃フモト,False,全券利用可（14枚）,ミコト乃フモト 霧島市 霧島
813,霧島,スーパー・食品,みやま本舗 霧島店,False,全券利用可（14枚）,みやま本舗 霧島店 霧島市 霧島
814,霧島,その他,みらい荘,False,全券利用可（14枚）,みらい荘 霧島市 霧島
815,霧島,雑貨・花・ギフト,霧花,False,全券利用可（14枚）,霧花 霧島市 霧島
816,霧島,飲食店,焼肉 花粋苑,False,全券利用可（14枚）,焼肉 花粋苑 霧島市 霧島
817,霧島,車・バイク・ガソリン,山崎石油,False,全券利用可（14枚）,山崎石油 霧島市 霧島
818,霧島,サービス,山下農機商会,False,全券利用可（14枚）,山下農機商会 霧島市 霧島
819,霧島,雑貨・花・ギフト,夢つる子窯,False,全券利用可（14枚）,夢つる子窯 霧島市 霧島
820,霧島,飲食店,若葉清掃社,False,全券利用可（14枚）,若葉清掃社 霧島市 霧島
